<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
MAGN;D;20170103;000000;33.2;34.05;32.95;33.01;6959900;0
MAGN;D;20170104;000000;33.11;33.4;32.955;33.255;3523200;0
MAGN;D;20170105;000000;33.4;33.45;32.85;32.95;3595300;0
MAGN;D;20170106;000000;32.885;33.095;32.7;32.805;3968000;0
MAGN;D;20170109;000000;32.9;33.4;32.625;32.905;6078500;0
MAGN;D;20170110;000000;32.905;33.93;32.76;33.57;6870700;0
MAGN;D;20170111;000000;33.89;34.4;33.615;34.3;7340600;0
MAGN;D;20170112;000000;34.3;34.615;33.815;33.875;4919200;0
MAGN;D;20170113;000000;34;34.265;33.285;34.1;6314100;0
MAGN;D;20170116;000000;34;34.645;33.94;34.495;4502100;0
MAGN;D;20170117;000000;34.495;35.105;34.02;34.65;7336800;0
MAGN;D;20170118;000000;34.655;34.77;33.9;33.9;6204100;0
MAGN;D;20170119;000000;33.91;34.375;33.78;34.08;6722200;0
MAGN;D;20170120;000000;34.02;34.595;33.99;34.3;4881300;0
MAGN;D;20170123;000000;34.37;34.925;34.135;34.75;9717100;0
MAGN;D;20170124;000000;34.68;34.97;34.565;34.665;4564000;0
MAGN;D;20170125;000000;34.86;36.12;34.6;36;16714100;0
MAGN;D;20170126;000000;36.1;37.37;35.925;37.37;16226400;0
MAGN;D;20170127;000000;37.49;37.99;36.605;37.68;11579400;0
MAGN;D;20170130;000000;37.5;38.38;37.3;38;18601600;0
MAGN;D;20170131;000000;38.31;39.53;37.615;39.345;35307400;0
MAGN;D;20170201;000000;39.45;41.21;39.305;40.7;26417900;0
MAGN;D;20170202;000000;40.75;41.9;40.56;41.27;24577000;0
MAGN;D;20170203;000000;41.31;42.84;41.1;42.605;26337700;0
MAGN;D;20170206;000000;42.72;43.6;41.805;41.9;24715100;0
MAGN;D;20170207;000000;41.9;42.06;40.5;40.95;19090700;0
MAGN;D;20170208;000000;40.85;41.995;40.85;41.35;13878000;0
MAGN;D;20170209;000000;41.45;42.33;41.45;42;9288500;0
MAGN;D;20170210;000000;42.01;42.65;40.56;40.8;21524200;0
MAGN;D;20170213;000000;40.95;41.765;40.83;41.69;20315700;0
MAGN;D;20170214;000000;41.845;41.94;40.735;41.1;10747300;0
MAGN;D;20170215;000000;41.27;41.77;40.715;41.32;13600000;0
MAGN;D;20170216;000000;41.495;41.5;41.1;41.12;10450800;0
MAGN;D;20170217;000000;41.4;41.745;40.115;40.2;12185700;0
MAGN;D;20170220;000000;40.45;40.745;39.7;40.495;7977900;0
MAGN;D;20170221;000000;40.56;40.75;39.815;39.815;5096700;0
MAGN;D;20170222;000000;39.81;40.33;39.065;39.4;10313200;0
MAGN;D;20170224;000000;38.905;39.345;38.535;38.55;8264600;0
